Salt,Base,Acid,SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g)
0,1,0,1790.30,1.12,0.00,4.07,1.13,5.00,219.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,5.00,158.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,9.99,172.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,9.99,190.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,9.99,214.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,9.99,156.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,24.98,171.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,24.98,179.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,24.98,210.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,24.98,155.00
0,1,0,106.30,1.01,0.00,12.88,0.00,1.00,160.00
0,1,0,106.30,1.01,0.00,12.88,0.00,2.00,150.00
0,1,0,106.30,1.01,0.00,12.88,0.00,5.00,140.00
0,1,0,106.30,1.01,0.00,12.88,0.00,8.00,130.00
0,1,0,106.30,1.01,0.00,12.88,0.00,9.99,127.00
0,1,0,106.30,1.01,0.00,12.88,0.00,15.00,123.00
0,1,0,106.30,1.01,0.00,12.88,0.00,19.99,118.00
0,1,0,193.50,1.05,0.00,11.89,0.00,1.00,215.00
0,1,0,193.50,1.05,0.00,11.89,0.00,2.00,200.00
0,1,0,193.50,1.05,0.00,11.89,0.00,5.00,185.00
0,1,0,193.50,1.05,0.00,11.89,0.00,8.00,178.00
0,1,0,193.50,1.05,0.00,11.89,0.00,9.99,175.00
0,1,0,193.50,1.05,0.00,11.89,0.00,15.00,173.00
0,1,0,193.50,1.05,0.00,11.89,0.00,19.99,171.00
0,1,0,129.20,1.33,4.25,11.20,2.69,1.00,315.00
0,1,0,129.20,1.33,4.25,11.20,2.69,2.00,260.00
0,1,0,129.20,1.33,4.25,11.20,2.69,5.00,223.00
0,1,0,129.20,1.33,4.25,11.20,2.69,8.00,205.00
0,1,0,129.20,1.33,4.25,11.20,2.69,9.99,200.00
0,1,0,129.20,1.33,4.25,11.20,2.69,15.00,193.00
0,1,0,129.20,1.33,4.25,11.20,2.69,19.99,190.00
0,1,0,370.40,1.32,4.80,7.76,2.01,1.00,346.00
0,1,0,370.40,1.32,4.80,7.76,2.01,2.00,302.00
0,1,0,370.40,1.32,4.80,7.76,2.01,5.00,260.00
0,1,0,370.40,1.32,4.80,7.76,2.01,8.00,242.00
0,1,0,370.40,1.32,4.80,7.76,2.01,9.99,235.00
0,1,0,370.40,1.32,4.80,7.76,2.01,15.00,215.00
0,1,0,370.40,1.32,4.80,7.76,2.01,19.99,201.00
0,1,0,54.01,0.41,2.25,2.69,0.00,0.50,22.50
0,1,0,50.44,0.40,3.00,3.73,0.00,0.50,24.50
0,1,0,41.60,0.43,3.43,4.13,0.00,0.50,26.30
0,1,0,54.01,0.41,2.25,2.69,0.00,0.80,20.00
0,1,0,50.44,0.40,3.00,3.73,0.00,0.80,21.30
0,1,0,41.60,0.43,3.43,4.13,0.00,0.80,22.00
0,1,0,54.01,0.41,2.25,2.69,0.00,1.60,18.75
0,1,0,50.44,0.40,3.00,3.73,0.00,1.60,18.00
0,1,0,41.60,0.43,3.43,4.13,0.00,1.60,20.00
0,1,0,54.01,0.41,2.25,2.69,0.00,4.00,17.60
0,1,0,50.44,0.40,3.00,3.73,0.00,4.00,16.40
0,1,0,41.60,0.43,3.43,4.13,0.00,4.00,18.50
0,1,0,54.01,0.41,2.25,2.69,0.00,8.00,17.30
0,1,0,50.44,0.40,3.00,3.73,0.00,8.00,15.00
0,1,0,41.60,0.43,3.43,4.13,0.00,8.00,19.00
0,1,0,261.00,0.92,0.00,14.03,3.47,5.00,285.00
0,1,0,261.00,0.92,0.00,14.03,3.47,3.00,320.00
0,1,0,261.00,0.92,0.00,14.03,3.47,9.99,155.00
0,1,0,109.07,1.21,5.31,8.76,0.00,1.00,359.00
0,1,0,109.07,1.21,5.31,8.76,0.00,2.00,330.00
0,1,0,109.07,1.21,5.31,8.76,0.00,3.00,315.00
0,1,0,109.07,1.21,5.31,8.76,0.00,4.00,300.00
0,1,0,109.07,1.21,5.31,8.76,0.00,5.00,292.00
0,1,0,109.07,1.21,5.31,8.76,0.00,9.99,280.00
0,1,0,39.05,1.02,4.16,9.39,0.00,1.00,280.00
0,1,0,39.05,1.02,4.16,9.39,0.00,2.00,225.00
0,1,0,39.05,1.02,4.16,9.39,0.00,3.00,220.00
0,1,0,39.05,1.02,4.16,9.39,0.00,4.00,220.00
0,1,0,39.05,1.02,4.16,9.39,0.00,5.00,215.00
0,1,0,39.05,1.02,4.16,9.39,0.00,9.99,203.00
0,1,0,531.90,1.12,7.70,13.70,0.00,2.00,320.00
0,1,0,531.90,1.12,7.70,13.70,0.00,5.00,298.50
0,1,0,531.90,1.12,7.70,13.70,0.00,9.99,239.00
0,1,0,1888.00,1.86,0.00,10.50,0.00,1.00,125.50
0,1,0,1866.00,2.01,0.00,10.50,0.97,1.00,119.00
0,1,0,1697.00,2.03,0.00,10.50,1.20,1.00,137.00
0,1,0,1639.00,1.93,0.00,10.50,0.87,1.00,124.50
0,1,0,1888.00,1.86,0.00,10.50,0.00,2.50,121.80
0,1,0,1866.00,2.01,0.00,10.50,0.97,2.50,118.80
0,1,0,1697.00,2.03,0.00,10.50,1.20,2.50,131.00
0,1,0,1639.00,1.93,0.00,10.50,0.87,2.50,121.50
0,1,0,1888.00,1.86,0.00,10.50,0.00,5.00,113.00
0,1,0,1866.00,2.01,0.00,10.50,0.97,5.00,112.50
0,1,0,1697.00,2.03,0.00,10.50,1.20,5.00,126.00
0,1,0,1639.00,1.93,0.00,10.50,0.87,5.00,119.00
0,1,0,1888.00,1.86,0.00,10.50,0.00,9.99,97.00
0,1,0,1866.00,2.01,0.00,10.50,0.97,9.99,106.50
0,1,0,1697.00,2.03,0.00,10.50,1.20,9.99,121.50
0,1,0,1639.00,1.93,0.00,10.50,0.87,9.99,118.00
0,1,0,1888.00,1.86,0.00,10.50,0.00,24.98,43.80
0,1,0,1866.00,2.01,0.00,10.50,0.97,24.98,98.00
0,1,0,1697.00,2.03,0.00,10.50,1.20,24.98,110.00
0,1,0,1639.00,1.93,0.00,10.50,0.87,24.98,114.00
0,1,0,260.00,1.12,0.00,14.39,0.00,0.20,203.00
0,1,0,593.00,1.12,10.09,13.86,0.00,0.20,326.00
0,1,0,502.00,1.12,4.96,14.02,0.00,0.20,238.00
0,1,0,527.00,1.12,5.93,13.72,0.00,0.20,251.00
0,1,0,571.00,1.12,9.50,11.81,0.00,0.20,276.00
0,1,0,544.00,1.12,8.47,11.77,0.00,0.20,289.00
0,1,0,373.00,1.12,6.36,15.91,0.00,0.20,254.00
0,1,0,460.00,1.12,7.84,14.40,0.00,0.20,286.00
0,1,0,413.00,1.12,7.30,10.73,0.00,0.20,281.00
0,1,0,260.00,1.12,0.00,14.39,0.00,1.00,169.00
0,1,0,593.00,1.12,10.09,13.86,0.00,1.00,269.00
0,1,0,502.00,1.12,4.96,14.02,0.00,1.00,210.00
0,1,0,527.00,1.12,5.93,13.72,0.00,1.00,216.00
0,1,0,571.00,1.12,9.50,11.81,0.00,1.00,239.00
0,1,0,544.00,1.12,8.47,11.77,0.00,1.00,250.00
0,1,0,373.00,1.12,6.36,15.91,0.00,1.00,193.00
0,1,0,460.00,1.12,7.84,14.40,0.00,1.00,222.00
0,1,0,413.00,1.12,7.30,10.73,0.00,1.00,207.00
0,1,0,1122.50,0.85,0.00,5.70,0.00,0.50,240.63
0,1,0,1122.50,0.85,0.00,5.70,0.00,1.00,228.13
0,1,0,1122.50,0.85,0.00,5.70,0.00,2.00,225.00
0,1,0,1122.50,0.85,0.00,5.70,0.00,5.00,215.63
0,1,0,1122.50,0.85,0.00,5.70,0.00,10.00,206.25
0,1,0,1122.50,0.85,0.00,5.70,0.00,20.00,200.00
0,1,0,2276.60,0.85,0.00,6.80,0.00,0.50,287.50
0,1,0,2276.60,0.85,0.00,6.80,0.00,1.00,268.75
0,1,0,2276.60,0.85,0.00,6.80,0.00,2.00,259.38
0,1,0,2276.60,0.85,0.00,6.80,0.00,5.00,253.13
0,1,0,2276.60,0.85,0.00,6.80,0.00,10.00,246.88
0,1,0,2276.60,0.85,0.00,6.80,0.00,20.00,237.50
0,1,0,2217.60,0.85,0.00,7.40,0.00,0.50,250.00
0,1,0,2217.60,0.85,0.00,7.40,0.00,1.00,251.00
0,1,0,2217.60,0.85,0.00,7.40,0.00,2.00,256.25
0,1,0,2217.60,0.85,0.00,7.40,0.00,5.00,246.88
0,1,0,2217.60,0.85,0.00,7.40,0.00,10.00,231.25
0,1,0,2217.60,0.85,0.00,7.40,0.00,20.00,230.00
0,1,0,1385.60,0.85,0.00,6.50,0.00,0.50,262.50
0,1,0,1385.60,0.85,0.00,6.50,0.00,1.00,256.25
0,1,0,1385.60,0.85,0.00,6.50,0.00,2.00,250.00
0,1,0,1385.60,0.85,0.00,6.50,0.00,5.00,234.38
0,1,0,1385.60,0.85,0.00,6.50,0.00,10.00,228.13
0,1,0,1385.60,0.85,0.00,6.50,0.00,20.00,218.75
0,1,0,1066.90,0.85,0.00,6.70,0.00,0.50,212.50
0,1,0,1066.90,0.85,0.00,6.70,0.00,1.00,212.60
0,1,0,1066.90,0.85,0.00,6.70,0.00,2.00,203.13
0,1,0,1066.90,0.85,0.00,6.70,0.00,5.00,196.88
0,1,0,1066.90,0.85,0.00,6.70,0.00,10.00,195.00
0,1,0,1066.90,0.85,0.00,6.70,0.00,20.00,190.63
0,1,0,1824.60,0.85,0.00,7.10,0.00,0.50,231.25
0,1,0,1824.60,0.85,0.00,7.10,0.00,1.00,228.13
0,1,0,1824.60,0.85,0.00,7.10,0.00,2.00,225.00
0,1,0,1824.60,0.85,0.00,7.10,0.00,5.00,215.63
0,1,0,1824.60,0.85,0.00,7.10,0.00,10.00,206.25
0,1,0,1824.60,0.85,0.00,7.10,0.00,20.00,200.00
