SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
305.2,0.99,0.9,13.7,0.3,1.0,344.0,14.78
305.2,0.99,0.9,13.7,0.3,2.0,280.0,14.78
305.2,0.99,0.9,13.7,0.3,3.0,275.0,14.78
305.2,0.99,0.9,13.7,0.3,5.0,262.0,14.78
305.2,0.99,0.9,13.7,0.3,10.0,249.0,14.78
361.1,1.0,0.3,14.2,0.0,0.5,371.0,14.78
361.1,1.0,0.3,14.2,0.0,1.0,298.0,14.78
361.1,1.0,0.3,14.2,0.0,2.0,250.0,14.78
361.1,1.0,0.3,14.2,0.0,3.0,240.0,14.78
361.1,1.0,0.3,14.2,0.0,5.0,234.0,14.78
361.1,1.0,0.3,14.2,0.0,10.0,220.0,14.78
322.4,1.03,0.0,13.4,0.1,0.5,282.0,14.78
322.4,1.03,0.0,13.4,0.1,1.0,238.0,14.78
322.4,1.03,0.0,13.4,0.1,2.0,222.0,14.78
322.4,1.03,0.0,13.4,0.1,3.0,210.0,14.78
322.4,1.03,0.0,13.4,0.1,5.0,201.0,14.78
322.4,1.03,0.0,13.4,0.1,10.0,180.0,14.78
285.1,1.0,0.7,14.9,0.2,0.5,385.0,14.78
285.1,1.0,0.7,14.9,0.2,10.0,219.0,14.78
156.9,1.0,1.3,12.3,3.2,0.5,263.0,14.78
156.9,1.0,1.3,12.3,3.2,10.0,147.0,14.78
187.0,1.47,1.64,10.1,0.74,0.5,202.0,14.78
187.0,1.47,1.64,10.1,0.74,1.0,199.0,14.78
187.0,1.47,1.64,10.1,0.74,2.0,199.0,14.78
187.0,1.47,1.64,10.1,0.74,5.0,168.0,14.78
187.0,1.47,1.64,10.1,0.74,10.0,154.0,14.78
211.0,1.48,1.39,11.49,0.7,0.5,204.0,14.78
211.0,1.48,1.39,11.49,0.7,1.0,200.0,14.78
211.0,1.48,1.39,11.49,0.7,2.0,196.0,14.78
211.0,1.48,1.39,11.49,0.7,5.0,174.0,14.78
211.0,1.48,1.39,11.49,0.7,10.0,160.0,14.78
252.0,1.51,1.96,13.22,0.97,0.5,251.0,14.78
252.0,1.51,1.96,13.22,0.97,1.0,248.0,14.78
252.0,1.51,1.96,13.22,0.97,2.0,242.0,14.78
252.0,1.51,1.96,13.22,0.97,5.0,230.0,14.78
252.0,1.51,1.96,13.22,0.97,10.0,225.0,14.78
710.0,1.35,1.1,18.8,1.3,1.0,150.0,14.78
710.0,1.35,1.1,18.8,1.3,2.0,102.0,14.78
710.0,1.35,1.1,18.8,1.3,3.0,62.0,14.78
710.0,1.35,1.1,18.8,1.3,5.0,50.0,14.78
710.0,1.35,1.1,18.8,1.3,10.0,38.0,14.78
710.0,1.35,1.1,18.8,1.3,20.0,25.0,14.78
396.0,1.03,2.4,16.0,0.0,1.0,140.0,14.78
396.0,1.03,2.4,16.0,0.0,2.0,120.0,14.78
396.0,1.03,2.4,16.0,0.0,3.0,113.0,14.78
396.0,1.03,2.4,16.0,0.0,5.0,80.0,14.78
396.0,1.03,2.4,16.0,0.0,10.0,65.0,14.78
396.0,1.03,2.4,16.0,0.0,20.0,50.0,14.78
1013.0,1.41,1.7,21.0,1.1,1.0,260.0,14.78
1013.0,1.41,1.7,21.0,1.1,2.0,200.0,14.78
1013.0,1.41,1.7,21.0,1.1,3.0,150.0,14.78
1013.0,1.41,1.7,21.0,1.1,5.0,115.0,14.78
1013.0,1.41,1.7,21.0,1.1,10.0,103.0,14.78
1013.0,1.41,1.7,21.0,1.1,20.0,95.0,14.78
1109.0,1.43,4.2,22.1,1.3,1.0,420.0,14.78
1109.0,1.43,4.2,22.1,1.3,2.0,350.0,14.78
1109.0,1.43,4.2,22.1,1.3,3.0,323.0,14.78
1109.0,1.43,4.2,22.1,1.3,5.0,305.0,14.78
1109.0,1.43,4.2,22.1,1.3,10.0,285.0,14.78
1109.0,1.43,4.2,22.1,1.3,20.0,280.0,14.78
1036.0,1.38,2.6,24.2,1.1,1.0,280.0,14.78
1036.0,1.38,2.6,24.2,1.1,2.0,220.0,14.78
1036.0,1.38,2.6,24.2,1.1,3.0,180.0,14.78
1036.0,1.38,2.6,24.2,1.1,5.0,140.0,14.78
1036.0,1.38,2.6,24.2,1.1,10.0,130.0,14.78
1036.0,1.38,2.6,24.2,1.1,20.0,118.0,14.78
85.76,1.06,0.0,31.49,0.0,0.3,184.9,14.78
85.76,1.06,0.0,31.49,0.0,0.5,180.0,14.78
85.76,1.06,0.0,31.49,0.0,1.0,172.0,14.78
85.76,1.06,0.0,31.49,0.0,2.0,165.0,14.78
85.76,1.06,0.0,31.49,0.0,3.0,158.0,14.78
85.76,1.06,0.0,31.49,0.0,5.0,150.0,14.78
85.76,1.06,0.0,31.49,0.0,10.0,130.0,14.78
147.31,0.97,1.1,15.36,0.0,0.3,221.9,14.78
147.31,0.97,1.1,15.36,0.0,0.5,215.0,14.78
147.31,0.97,1.1,15.36,0.0,1.0,210.0,14.78
147.31,0.97,1.1,15.36,0.0,2.0,202.0,14.78
147.31,0.97,1.1,15.36,0.0,3.0,192.0,14.78
147.31,0.97,1.1,15.36,0.0,5.0,188.0,14.78
147.31,0.97,1.1,15.36,0.0,10.0,178.0,14.78
149.32,1.02,1.24,15.45,0.0,0.3,299.7,14.78
149.32,1.02,1.24,15.45,0.0,0.5,288.0,14.78
149.32,1.02,1.24,15.45,0.0,1.0,277.0,14.78
149.32,1.02,1.24,15.45,0.0,2.0,265.0,14.78
149.32,1.02,1.24,15.45,0.0,3.0,261.0,14.78
149.32,1.02,1.24,15.45,0.0,5.0,255.0,14.78
149.32,1.02,1.24,15.45,0.0,10.0,242.0,14.78
155.99,1.03,1.35,16.9,0.0,0.3,257.5,14.78
155.99,1.03,1.35,16.9,0.0,0.5,250.0,14.78
